序号,图片路径,文件名,宽度 (px),高度 (px),文件大小,文件夹
1,assets/img/logo-white.png,logo-white.png,150,70,3.39 KB,assets/img
2,assets/img/iphone6.svg,iphone6.svg,错误,错误,错误,cannot identify image file './assets/img/iphone6.svg'
3,assets/img/6.png,6.png,101,50,3.42 KB,assets/img
4,assets/img/payment-cards.png,payment-cards.png,343,29,7.51 KB,assets/img
5,assets/img/logo.png,logo.png,150,70,3.38 KB,assets/img
6,assets/img/product-details/250-1.jpg,250-1.jpg,250,250,7.30 KB,assets/img/product-details
7,assets/img/product-details/600.jpg,600.jpg,600,600,50.61 KB,assets/img/product-details
8,assets/img/product-details/150-0.jpg,150-0.jpg,150,150,7.85 KB,assets/img/product-details
9,assets/img/product-details/250-2.jpg,250-2.jpg,250,250,8.01 KB,assets/img/product-details
10,assets/img/product-details/1920x800.jpg,1920x800.jpg,1920,800,147.44 KB,assets/img/product-details
11,assets/img/product-details/150.jpg,150.jpg,150,150,12.87 KB,assets/img/product-details
12,assets/img/product-details/250.jpg,250.jpg,250,250,8.90 KB,assets/img/product-details
13,assets/img/product-details/440x540.jpg,440x540.jpg,440,540,19.48 KB,assets/img/product-details
14,assets/img/product-details/250-0.jpg,250-0.jpg,250,250,12.96 KB,assets/img/product-details
15,assets/img/product-details/440x540-1.jpg,440x540-1.jpg,440,540,15.18 KB,assets/img/product-details
16,assets/img/product-details/600-0.jpg,600-0.jpg,600,600,36.22 KB,assets/img/product-details
17,assets/img/product-details/440x540-2.jpg,440x540-2.jpg,440,540,16.39 KB,assets/img/product-details
18,assets/img/product-details/440x540-0.jpg,440x540-0.jpg,440,540,27.68 KB,assets/img/product-details
19,assets/img/home-2/500.jpg,500.jpg,500,500,17.29 KB,assets/img/home-2
20,assets/img/home-2/70x70-2.jpg,70x70-2.jpg,70,70,4.60 KB,assets/img/home-2
21,assets/img/home-2/445x485.jpg,445x485.jpg,445,485,52.23 KB,assets/img/home-2
22,assets/img/home-2/600.jpg,600.jpg,600,600,50.61 KB,assets/img/home-2
23,assets/img/home-2/70x70.jpg,70x70.jpg,70,70,3.35 KB,assets/img/home-2
24,assets/img/home-2/100x100-1.jpg,100x100-1.jpg,100,100,7.42 KB,assets/img/home-2
25,assets/img/home-2/1920x800.jpg,1920x800.jpg,1920,800,281.43 KB,assets/img/home-2
26,assets/img/home-2/1920x800-3.jpg,1920x800-3.jpg,1920,800,460.26 KB,assets/img/home-2
27,assets/img/home-2/1920x800-2.jpg,1920x800-2.jpg,1920,800,200.39 KB,assets/img/home-2
28,assets/img/home-2/500-0.jpg,500-0.jpg,500,500,33.33 KB,assets/img/home-2
